ablation,ablation_protocol,channel,mode,psnr_mean,psnr_std,psnr_p10,psnr_p05,ssim_mean,ssim_std,ssim_p10,ssim_p05,latent_cosine_mean,latent_cosine_std,latent_cosine_p10,latent_cosine_p05,latent_cka_mean,latent_cka_std,latent_cka_p10,latent_cka_p05
no_token,posthoc_eval_only,cdl,diffusion_no_token,17.254297256469727,0.6253070831298828,16.54244613647461,16.37143325805664,0.24402013421058655,0.04199888929724693,0.1932588666677475,0.18147608637809753,0.999688982963562,2.0920608221786097e-05,0.9996634721755981,0.9996523857116699,0.8961543440818787,0.056680962443351746,0.8165559768676758,0.7959467172622681
no_token,posthoc_eval_only,urban,diffusion_no_token,16.98036766052246,0.781324565410614,16.077499389648438,15.72899055480957,0.23692363500595093,0.0426967591047287,0.1858196258544922,0.17490461468696594,0.9996871948242188,2.174543078581337e-05,0.999660313129425,0.9996477365493774,0.8957593441009521,0.05571429431438446,0.8187573552131653,0.7907365560531616
no_token,posthoc_eval_only,rural,diffusion_no_token,16.865705490112305,0.8148723840713501,15.975167274475098,15.555343627929688,0.23684386909008026,0.042314182966947556,0.1874726563692093,0.17297813296318054,0.9996861219406128,2.1299529180396348e-05,0.9996588826179504,0.9996474981307983,0.8999232053756714,0.049402788281440735,0.8334822654724121,0.805696964263916
no_token,posthoc_eval_only,highway,diffusion_no_token,17.020854949951172,0.6324409246444702,16.28875732421875,16.077482223510742,0.23769192397594452,0.041768524795770645,0.18727122247219086,0.17575474083423615,0.9996857047080994,2.0921350369462743e-05,0.9996587038040161,0.999649167060852,0.8993265628814697,0.04906332865357399,0.8345093727111816,0.8008700609207153
no_token,posthoc_eval_only,umi,diffusion_no_token,17.1280517578125,0.7246798872947693,16.365406036376953,16.072179794311523,0.24060387909412384,0.04285656660795212,0.18877054750919342,0.1772807091474533,0.999687910079956,2.105354542436544e-05,0.9996610879898071,0.9996494650840759,0.9044750332832336,0.04829110577702522,0.8436253070831299,0.8187006115913391
no_token,posthoc_eval_only,uma,diffusion_no_token,16.978731155395508,0.8314333558082581,16.167491912841797,15.682559967041016,0.23666436970233917,0.0422479510307312,0.18659648299217224,0.17350399494171143,0.9996874332427979,2.1894687961321324e-05,0.9996607899665833,0.999646782875061,0.9015725255012512,0.04869911074638367,0.836611807346344,0.8118646740913391
single_expert,posthoc_eval_only,awgn,diffusion_token,6.709547996520996,0.418315052986145,6.170270919799805,5.97758150100708,0.016988925635814667,0.003820061217993498,0.012249293737113476,0.010981207713484764,0.818229079246521,0.004715352319180965,0.8122826218605042,0.8103258609771729,0.9331133365631104,0.02633759379386902,0.8962281942367554,0.8866134285926819
single_expert,posthoc_eval_only,rayleigh,diffusion_token,6.6381144523620605,0.44949498772621155,6.030129909515381,5.829878807067871,0.016163118183612823,0.0039025936275720596,0.01135232113301754,0.009985609911382198,0.8183874487876892,0.004504386801272631,0.8125883340835571,0.8110674023628235,0.9331884980201721,0.02647256851196289,0.8948652148246765,0.8869478106498718
single_expert,posthoc_eval_only,rician,diffusion_token,6.66090202331543,0.4465244710445404,6.070094108581543,5.867783546447754,0.01640840247273445,0.0037506180815398693,0.011634851805865765,0.010359150357544422,0.8182379603385925,0.004604257643222809,0.812351644039154,0.8106305003166199,0.9332194328308105,0.026591449975967407,0.896909236907959,0.8850495219230652
single_expert,posthoc_eval_only,tdl,diffusion_token,6.654585361480713,0.4441716969013214,6.0809454917907715,5.854033946990967,0.016232836991548538,0.0038240996655076742,0.011468496173620224,0.00995122455060482,0.8184921145439148,0.004502968396991491,0.8125584721565247,0.8109420537948608,0.932918906211853,0.026513095945119858,0.8965226411819458,0.8866273760795593
single_expert,posthoc_eval_only,cdl,diffusion_token,6.670709133148193,0.43830621242523193,6.106590747833252,5.877297401428223,0.016412178054451942,0.003796772100031376,0.011640173383057117,0.010209892876446247,0.8184289932250977,0.004559463355690241,0.8123564124107361,0.8106750249862671,0.9329924583435059,0.026795685291290283,0.8975810408592224,0.8837810158729553
single_expert,posthoc_eval_only,urban,diffusion_token,6.644045352935791,0.43937379121780396,6.07908296585083,5.857093811035156,0.016178200021386147,0.0038391046691685915,0.01124392356723547,0.009837050922214985,0.8182458877563477,0.004598323721438646,0.8123899698257446,0.8105980753898621,0.9333212375640869,0.026282360777258873,0.8967434763908386,0.8822497725486755
single_expert,posthoc_eval_only,rural,diffusion_token,6.660583019256592,0.44307389855384827,6.1062469482421875,5.8529276847839355,0.0164071973413229,0.003803936531767249,0.011791226454079151,0.010363224893808365,0.8183403611183167,0.004599765874445438,0.8125292062759399,0.8107025623321533,0.9329944252967834,0.026396069675683975,0.8950300812721252,0.8851932883262634
single_expert,posthoc_eval_only,highway,diffusion_token,6.6602606773376465,0.4428458511829376,6.078651428222656,5.86864709854126,0.016327690333127975,0.0037956784944981337,0.011601588688790798,0.010094815865159035,0.8182901740074158,0.004515876527875662,0.8125061988830566,0.810767650604248,0.9330421686172485,0.026612509042024612,0.8959875702857971,0.887032687664032
single_expert,posthoc_eval_only,umi,diffusion_token,6.659279823303223,0.4417997896671295,6.091883182525635,5.845548152923584,0.016249878332018852,0.0038475850597023964,0.011355266906321049,0.009962338954210281,0.8183010816574097,0.0044759768061339855,0.8125202655792236,0.8110322952270508,0.933295726776123,0.02624640241265297,0.8956310153007507,0.8859440088272095
