channel,snr_db,mode,psnr_mean,psnr_std,psnr_p10,psnr_p05,ssim_mean,ssim_std,ssim_p10,ssim_p05,latent_cosine_mean,latent_cosine_std,latent_cosine_p10,latent_cosine_p05,latent_cka_mean,latent_cka_std,latent_cka_p10,latent_cka_p05
awgn,9,diffusion_token,24.701826095581055,1.4973634481430054,22.673507690429688,22.09697914123535,0.6744750738143921,0.05621299147605896,0.6009121537208557,0.5755453109741211,0.9999271631240845,2.2213527699932456e-05,0.9998989105224609,0.9998855590820312,0.6837425231933594,0.12471818923950195,0.5276234149932861,0.4991718828678131
awgn,12,baseline,18.56494903564453,0.708551824092865,17.760671615600586,17.529882431030273,0.3012440502643585,0.04639569669961929,0.24642324447631836,0.2298559695482254,0.9997562766075134,1.9779743524850346e-05,0.9997320175170898,0.9997202754020691,0.9291909337043762,0.03460327163338661,0.8836490511894226,0.8573152422904968
awgn,12,tokenizer_cond,17.3863525390625,0.6067366003990173,16.69141960144043,16.511884689331055,0.2552463114261627,0.04427522420883179,0.20397385954856873,0.18930375576019287,0.9996880292892456,2.0115332517889328e-05,0.9996631741523743,0.9996514320373535,0.9082319140434265,0.04699752479791641,0.8399063944816589,0.8213309645652771
awgn,12,diffusion_no_token,17.388044357299805,0.6113808751106262,16.722797393798828,16.530067443847656,0.25515690445899963,0.04396228492259979,0.20404846966266632,0.18993330001831055,0.999687671661377,2.0640893126255833e-05,0.9996606707572937,0.9996504187583923,0.9034577012062073,0.0453239269554615,0.8423963189125061,0.8206645250320435
awgn,12,diffusion_token,25.046018600463867,1.5467592477798462,22.966106414794922,22.344789505004883,0.6899927854537964,0.05618749186396599,0.6181172132492065,0.5902000069618225,0.9999287724494934,2.186689198424574e-05,0.9999020099639893,0.999889075756073,0.6721030473709106,0.11136090755462646,0.5326302647590637,0.5100696682929993
awgn,15,baseline,18.55154037475586,0.695886492729187,17.770130157470703,17.560779571533203,0.3003590404987335,0.04609259217977524,0.24600717425346375,0.23063784837722778,0.9997564554214478,1.941410118888598e-05,0.9997329711914062,0.9997206926345825,0.9259480237960815,0.03451491519808769,0.880633533000946,0.8581438660621643
awgn,15,tokenizer_cond,17.39971923828125,0.6123383641242981,16.72118377685547,16.528945922851562,0.25588691234588623,0.04442167282104492,0.20375016331672668,0.19097866117954254,0.9996881484985352,2.0299265088397078e-05,0.9996631145477295,0.9996523261070251,0.9046999216079712,0.050587475299835205,0.8316801190376282,0.8103829622268677
awgn,15,diffusion_no_token,17.393295288085938,0.614061713218689,16.725574493408203,16.4991455078125,0.25567883253097534,0.044330745935440063,0.2037060707807541,0.18835340440273285,0.999687910079956,2.0657047571148723e-05,0.9996621608734131,0.9996533393859863,0.9034680724143982,0.048416975885629654,0.8419797420501709,0.8138371109962463
awgn,15,diffusion_token,25.222904205322266,1.607869029045105,23.136920928955078,22.481836318969727,0.6964205503463745,0.060697488486766815,0.614556610584259,0.589532196521759,0.9999291300773621,2.189536826335825e-05,0.9999009966850281,0.99988853931427,0.6642855405807495,0.11617276072502136,0.5134618878364563,0.4920654296875
awgn,18,baseline,18.516992568969727,0.6711366772651672,17.76422882080078,17.54555320739746,0.298598974943161,0.04581641033291817,0.2447585165500641,0.2286503165960312,0.9997562170028687,1.914111817313824e-05,0.9997331500053406,0.9997220039367676,0.9293191432952881,0.03907694295048714,0.888486385345459,0.8702035546302795
awgn,18,tokenizer_cond,17.412296295166016,0.6170533299446106,16.734262466430664,16.520431518554688,0.25601813197135925,0.0445321649312973,0.20320841670036316,0.1893923133611679,0.9996880888938904,2.002550900215283e-05,0.9996631741523743,0.9996531009674072,0.9026095271110535,0.043251994997262955,0.8425342440605164,0.8282096982002258
awgn,18,diffusion_no_token,17.41254425048828,0.6121613383293152,16.724559783935547,16.546958923339844,0.2560315430164337,0.04431259259581566,0.2036476731300354,0.19041325151920319,0.9996882677078247,2.0200113794999197e-05,0.9996636509895325,0.9996509552001953,0.9005400538444519,0.04860334098339081,0.8285439610481262,0.8120793700218201
awgn,18,diffusion_token,25.310941696166992,1.6397525072097778,23.146526336669922,22.497024536132812,0.6987430453300476,0.06138381361961365,0.6185833811759949,0.5928236842155457,0.9999295473098755,2.1731224478571676e-05,0.9999030232429504,0.9998915791511536,0.672085702419281,0.12019506841897964,0.5170837044715881,0.4952791631221771
awgn,20,baseline,18.49533462524414,0.6638662815093994,17.72801399230957,17.509017944335938,0.2975464463233948,0.04520200937986374,0.24377873539924622,0.2281440645456314,0.9997559189796448,1.9058561520068906e-05,0.9997325539588928,0.9997206926345825,0.9290252923965454,0.03812722489237785,0.879844069480896,0.8546081781387329
